DATETIME;USER;TAG;VALUE
2013-05-11@23:56:26;admin;LOGIN;
2013-05-11@23:56:43;admin;LOGOUT;
2013-05-11@23:56:54;kasi;LOGIN;
2013-05-11@23:56:57;kasi;"CHANGE ROLE";"user kasi mengganti role ke 2/1"
2013-05-11@23:57:00;kasi;LOGOUT;
2013-05-11@23:58:35;kk;LOGIN;
2013-05-11@23:58:48;kk;LOGOUT;
2013-05-12@11:31:18;huri;LOGIN;
2013-05-12@12:19:49;huri;LOGOUT;
2013-05-12@12:19:52;admin;LOGIN;
2013-05-12@12:37:19;admin;LOGOUT;
2013-05-12@12:37:25;huri;LOGIN;
2013-05-12@12:38:25;huri;LOGOUT;
2013-05-12@12:50:42;admin;LOGIN;
2013-05-12@12:51:18;admin;LOGOUT;
2013-05-12@12:51:24;kasi;LOGIN;
2013-05-12@13:59:27;kasi;LOGOUT;
2013-05-12@13:59:30;admin;LOGIN;
2013-05-12@13:59:40;admin;LOGOUT;
2013-05-12@13:59:43;huri;LOGIN;
2013-05-12@14:08:05;huri;LOGOUT;
2013-05-12@14:08:08;admin;LOGIN;
2013-05-12@14:11:31;admin;LOGOUT;
2013-05-12@14:11:34;kasi;LOGIN;
2013-05-12@14:17:42;kasi;LOGOUT;
2013-05-12@14:17:58;huri;LOGIN;
2013-05-12@14:18:52;huri;LOGOUT;
2013-05-12@14:18:55;admin;LOGIN;
2013-05-12@14:19:06;admin;LOGOUT;
2013-05-12@14:19:09;kasi;LOGIN;
2013-05-12@14:19:16;kasi;LOGOUT;
2013-05-12@14:19:21;huri;LOGIN;
2013-05-12@14:22:50;huri;LOGOUT;
2013-05-12@14:22:54;kk;LOGIN;
2013-05-13@15:48:19;huri;LOGIN;
2013-05-13@17:02:15;huri;LOGOUT;
2013-05-13@17:02:22;admin;LOGIN;
2013-05-13@17:02:54;admin;LOGOUT;
2013-05-13@17:03:01;marni;LOGIN;
2013-05-13@17:03:54;marni;LOGOUT;
2013-05-13@17:03:59;kasi;LOGIN;
2013-05-13@17:04:20;kasi;LOGOUT;
2013-05-13@17:04:25;mastri;LOGIN;
2013-05-13@17:05:05;mastri;LOGOUT;
2013-05-13@17:05:10;kasi;LOGIN;
2013-05-13@17:05:12;kasi;LOGOUT;
2013-05-13@17:16:26;mastri;LOGIN;
2013-05-13@19:13:53;mastri;LOGOUT;
2013-05-13@19:13:57;admin;LOGIN;
2013-05-13@20:01:20;admin;LOGOUT;
2013-05-13@20:01:23;kk;LOGIN;
2013-05-14@05:09:13;kk;LOGIN;
2013-05-14@05:09:27;kk;LOGOUT;
2013-05-14@05:09:31;kasi;LOGIN;
2013-05-14@05:09:36;kasi;"CHANGE ROLE";"user kasi mengganti role/bagian ke 2/1"
2013-05-14@05:09:38;kasi;LOGOUT;
2013-05-14@05:09:44;admin;LOGIN;
2013-05-14@05:11:12;admin;"REKAM SM";"user admin rekam surat masuk agenda SM0019"
2013-05-14@05:11:45;admin;LOGOUT;
2013-05-14@05:11:48;kk;LOGIN;
2013-05-14@05:12:42;kk;"REKAM DISPOSISI";"user kk rekam disposisi no agenda SM0019"
2013-05-14@05:12:55;kk;LOGOUT;
2013-05-14@05:13:05;kasi;LOGIN;
2013-05-14@05:13:34;kasi;"REKAM CATATAN KASI";"user kasi rekam catatan kasi no agenda SM0019"
2013-05-14@05:13:51;kasi;"CHANGE ROLE";"user kasi mengganti role/bagian ke 2/1"
2013-05-14@05:13:56;kasi;"CHANGE ROLE";"user kasi mengganti role/bagian ke 2/2"
2013-05-14@05:14:01;kasi;"CHANGE ROLE";"user kasi mengganti role/bagian ke 2/1"
2013-05-14@05:14:05;kasi;LOGOUT;
2013-05-14@05:14:09;huri;LOGIN;
